"","id_str"
"143","1633242752434462726"
"144","1633240314675593218"
"145","1633238878889955334"
"146","1633238546961014789"
"147","1633238466283675648"
"148","1633237504907255808"
"149","1633231047323426816"
"150","1633227881273851907"
"151","1633227175477366788"
"152","1633227157907423234"
"153","1633227127314055172"
"154","1633226602187243520"
"155","1633226562240671745"
"156","1633226514710888448"
"157","1633225537081491456"
"158","1633225439752724487"
"159","1633224852906688514"
"160","1633223519004655617"
"161","1633222560509747201"
"162","1633221582645760000"
"163","1633219665697599489"
"164","1633218964493946880"
"165","1633217943990423552"
"166","1633216040397070339"
"167","1633209193908822023"
"168","1633208565195309057"
"169","1633206825267916802"
"170","1633204084529348609"
"171","1633195723578814465"
"172","1633195187559079939"
"173","1633193626015617029"
"174","1633182668631289856"
"175","1633182307258359810"
"176","1633180994848079874"
"177","1633180073099423744"
"178","1633179482063339520"
"179","1633177008506126342"
"180","1633173911293554692"
"181","1633172725844914178"
"182","1633172342917455878"
"183","1633168442592198658"
"184","1633167942014648320"
"185","1633164446129352711"
"186","1633161265194364932"
"187","1633158420328251392"
"188","1633154650399469577"
"189","1633152400503496705"
"190","1633151896092303361"
"191","1633150864838782990"
"192","1633147413375451137"
"193","1633147063025147904"
"194","1633147036064251905"
"195","1633146440657584128"
"196","1633146389126344708"
"197","1633145243871887360"
"198","1633141247522086912"
"199","1633140955879546880"
"200","1633140271306227718"
"201","1633138111109640192"
"202","1633132267135434752"
"203","1633120482319802368"
"204","1633116079567392770"
"205","1633115254556172288"
"206","1633114276146585601"
"207","1633110075379253251"
"208","1633109402721845249"
"209","1633104819576528903"
"210","1633101909421699072"
"211","1633100853656576002"
"212","1633100613587283971"
"213","1633100161608974345"
"214","1633100125194133506"
"215","1633100111923257344"
"216","1633100071628677121"
"217","1633100022135894018"
"218","1633100006767882243"
"219","1633097740908478471"
"220","1633093771897307139"
"221","1633087236068593664"
"222","1633087154053160960"
"223","1633081705757065218"
"224","1633070113803862019"
"225","1633061074374123521"
"226","1633054708305633282"
"227","1633049994864340992"
"228","1633013920951672832"
"229","1633009742439170048"
"230","1633006858070786048"
"231","1632979226973417474"
"232","1632977944976019456"
"233","1632972984179671040"
"234","1632972883445129221"
"235","1632969353032286208"
"236","1632967882719084547"
"237","1632954033072660480"
"238","1632952948744417281"
"239","1632946778541637632"
"240","1632946652670566400"
"241","1632943974267641856"
"242","1632942312379613184"
"243","1632941671338876928"
"244","1632938490429145089"
"245","1632937415248695297"
"246","1632936663809753088"
"247","1632929939367288834"
"248","1632922817778819073"
"249","1632919144327675905"
"250","1632918956410298368"
"251","1632916880502472704"
"252","1632913883806461952"
"253","1632910123596144640"
"254","1632906698728914944"
"255","1632904232360607744"
"256","1632902747824562179"
"257","1632902468651687936"
"258","1632900519831261185"
"259","1632899235405262848"
"260","1632898193544413192"
"261","1632894678721806337"
"262","1632893976574414848"
"263","1632893257372803073"
"264","1632888902636765188"
"265","1632888892637560832"
"266","1632882477294403586"
"267","1632879906559279104"
"268","1632879394891915264"
"269","1632879039168888833"
"270","1632878656883179522"
"271","1632878577640173571"
"272","1632876501082284033"
"273","1632870778382286848"
"274","1632868191679520769"
"275","1632865662593892352"
"276","1632863508328071168"
"277","1632863397753626624"
"278","1632860675729965057"
"279","1632860375535214597"
"280","1632859680597745665"
"281","1632858581350457349"
"282","1632857628102774784"
"283","1632852827784597508"
"284","1632852351672303618"
"285","1632850574382190599"
"286","1632850099859587073"
"287","1632844608618020869"
"288","1632843940960382977"
"289","1632843858676445195"
"290","1632842117973266433"
"291","1632838538071769090"
"292","1632837278941716484"
"293","1632837111408672768"
"294","1632833446069272577"
"295","1632831518967050242"
"296","1632829443025584128"
"297","1632829438688722944"
"298","1632829110387867648"
"299","1632826824060289027"
"300","1632825936168075268"
"301","1632825317122269190"
"302","1632824041655394306"
"303","1632823314354716673"
"304","1632818851388747776"
"305","1632813703119634433"
"306","1632811873891483651"
"307","1632811859488243714"
"308","1632808863228387330"
"309","1632808130278047747"
"310","1632801895935770624"
"311","1632801723755511809"
"312","1632801655178526722"
"313","1632796369055350790"
"314","1632792622795300865"
"315","1632790527304257536"
"316","1632789090197225472"
"317","1632789060656799746"
"318","1632786312817258497"
"319","1632784775483125762"
