Source,Target,Type,Id,Label,Weight
kevhosumadre,contrataenlinea,Directed,107,,1
77Kail,genbeta,Directed,108,,1
azrael_argentin,FlisolCABA,Directed,109,,2
jeensonaguilar,CaveCoder,Directed,111,,1
abogadhillo,elhackernet,Directed,112,,2
andresovalle8,CaveCoder,Directed,113,,1
gamoja67,DerechodelaRed,Directed,114,,1
Jav_Beginner,CaveCoder,Directed,115,,1
maxezek1,DerechodelaRed,Directed,116,,1
bonzos1979,yoantoniorivera,Directed,117,,1
Facultar,FlisolCABA,Directed,118,,2
packorrodev,CaveCoder,Directed,119,,1
gamoja67,elhackernet,Directed,121,,2
ronilla17,CaveCoder,Directed,122,,1
Al_Shoot,KabilaAppES,Directed,123,,1
Area51_EC,elhackernet,Directed,124,,2
hberdecia_hdz,cencorpr,Directed,125,,1
nucleo_hpopular,revistasuchile,Directed,126,,1
OpenSciTalk,AtractorSvf,Directed,127,,1
ReversENG_,elhackernet,Directed,128,,1
Matsu_mabel,Milanes_guisado,Directed,129,,1
MinCyTBolivar,oncti_mppct,Directed,130,,1
KRISTAL333,contrataenlinea,Directed,131,,1
abogadhillo,DerechodelaRed,Directed,132,,1
Viviana34757591,CNTI_VE,Directed,133,,1
WilderDeLaPaz,contrataenlinea,Directed,134,,1
espanolJ,DerechodelaRed,Directed,135,,1
crypto_teo,OmarLopezBTC,Directed,136,,1
alemove91,CaveCoder,Directed,137,,1
anaegido_y,IPMARK,Directed,138,,1
juliojesusanaya,CaveCoder,Directed,139,,1
lina_duende,CaliVisible,Directed,140,,1
Fcojim,leonugo,Directed,141,,1
PLOSBiology,UCAOrthopedics,Directed,142,,1
rstats_tweets,Ubuntu8Touch,Directed,143,,1
antoniosanzmon,PilaRicoCastro,Directed,144,,1
rstatstweet,Ubuntu8Touch,Directed,145,,1
Jjairocj,CaveCoder,Directed,146,,1
CesarZafra,cartodynamics1,Directed,147,,1
nicolas_digital,SomosNLP_,Directed,148,,1
ChesaroMaldini,CaveCoder,Directed,149,,1
OlgaViota,mapeoabierto_la,Directed,150,,1
EditorialUV,PalabrayHombre,Directed,151,,1
SIGAMonterrey,pablofnett,Directed,152,,1
lolitabetancour,RadioEducacion,Directed,153,,1
aespejo9,elhackernet,Directed,154,,1
esopenstreetmap,mapeoabierto_la,Directed,155,,1
JosepTrias2,KabilaAppES,Directed,156,,1
